,Country Name,Continent
0,Afghanistan,Asia
1,Albania,Europe
2,Algeria,Africa
3,American Samoa,Oceania
4,Andorra,Europe
5,Angola,Africa
6,Antigua and Barbuda,North America
7,Argentina,South America
8,Armenia,Asia
9,Aruba,North America
10,Australia,Oceania
11,Austria,Europe
12,Azerbaijan,Asia
13,"Bahamas, The",North America
14,Bahrain,Asia
15,Bangladesh,Asia
16,Barbados,North America
17,Belarus,Europe
18,Belgium,Europe
19,Belize,North America
20,Benin,Africa
21,Bermuda,North America
22,Bhutan,Asia
23,Bolivia,South America
24,Bosnia and Herzegovina,Europe
25,Botswana,Africa
26,Brazil,South America
27,British Virgin Islands,North America
28,Brunei Darussalam,Asia
29,Bulgaria,Europe
30,Burkina Faso,Africa
31,Burundi,Africa
32,Cabo Verde,Africa
33,Cambodia,Asia
34,Cameroon,Africa
35,Canada,North America
36,Cayman Islands,North America
37,Central African Republic,Africa
38,Chad,Africa
39,Channel Islands,Europe
40,Chile,South America
41,China,Asia
42,Colombia,South America
43,Comoros,Africa
44,"Congo, Dem. Rep.",Africa
45,"Congo, Rep.",Africa
46,Costa Rica,North America
47,Cote d'Ivoire,Africa
48,Croatia,Europe
49,Cuba,North America
50,Curacao,North America
51,Cyprus,Asia
52,Czechia,Europe
53,Denmark,Europe
54,Djibouti,Africa
55,Dominica,North America
56,Dominican Republic,North America
57,Ecuador,South America
58,"Egypt, Arab Rep.",Africa
59,El Salvador,North America
60,Equatorial Guinea,Africa
61,Eritrea,Africa
62,Estonia,Europe
63,Eswatini,Africa
64,Ethiopia,Africa
65,Faroe Islands,Europe
66,Fiji,Oceania
67,Finland,Europe
68,France,Europe
69,French Polynesia,Oceania
70,Gabon,Africa
71,"Gambia, The",Africa
72,Georgia,Asia
73,Germany,Europe
74,Ghana,Africa
75,Gibraltar,Europe
76,Greece,Europe
77,Greenland,North America
78,Grenada,North America
79,Guam,Oceania
80,Guatemala,North America
81,Guinea,Africa
82,Guinea-Bissau,Africa
83,Guyana,South America
84,Haiti,North America
85,Honduras,North America
86,"Hong Kong SAR, China",Asia
87,Hungary,Europe
88,Iceland,Europe
89,India,Asia
90,Indonesia,Asia
91,"Iran, Islamic Rep.",Asia
92,Iraq,Asia
93,Ireland,Europe
94,Isle of Man,Europe
95,Israel,Asia
96,Italy,Europe
97,Jamaica,North America
98,Japan,Asia
99,Jordan,Asia
100,Kazakhstan,Asia
101,Kenya,Africa
102,Kiribati,Oceania
103,"Korea, Dem. People's Rep.",Asia
104,"Korea, Rep.",Asia
105,Kosovo,Europe
106,Kuwait,Asia
107,Kyrgyz Republic,Asia
108,Lao PDR,Asia
109,Latvia,Europe
110,Lebanon,Asia
111,Lesotho,Africa
112,Liberia,Africa
113,Libya,Africa
114,Liechtenstein,Europe
115,Lithuania,Europe
116,Luxembourg,Europe
117,"Macao SAR, China",Asia
118,Madagascar,Africa
119,Malawi,Africa
120,Malaysia,Asia
121,Maldives,Asia
122,Mali,Africa
123,Malta,Europe
124,Marshall Islands,Oceania
125,Mauritania,Africa
126,Mauritius,Africa
127,Mexico,North America
128,"Micronesia, Fed. Sts.",Oceania
129,Moldova,Europe
130,Monaco,Europe
131,Mongolia,Asia
132,Montenegro,Europe
133,Morocco,Africa
134,Mozambique,Africa
135,Myanmar,Asia
136,Namibia,Africa
137,Nauru,Oceania
138,Nepal,Asia
139,Netherlands,Europe
140,New Caledonia,Oceania
141,New Zealand,Oceania
142,Nicaragua,North America
143,Niger,Africa
144,Nigeria,Africa
145,North Macedonia,Europe
146,Northern Mariana Islands,Oceania
147,Norway,Europe
148,Oman,Asia
149,Pakistan,Asia
150,Palau,Oceania
151,Panama,North America
152,Papua New Guinea,Oceania
153,Paraguay,South America
154,Peru,South America
155,Philippines,Asia
156,Poland,Europe
157,Portugal,Europe
158,Puerto Rico,North America
159,Qatar,Asia
160,Romania,Europe
161,Russian Federation,Europe/Asia
162,Rwanda,Africa
163,Samoa,Oceania
164,San Marino,Europe
165,Sao Tome and Principe,Africa
166,Saudi Arabia,Asia
167,Senegal,Africa
168,Serbia,Europe
169,Seychelles,Africa
170,Sierra Leone,Africa
171,Singapore,Asia
172,Sint Maarten (Dutch part),North America
173,Slovak Republic,Europe
174,Slovenia,Europe
175,Solomon Islands,Oceania
176,Somalia,Africa
177,South Africa,Africa
178,South Sudan,Africa
179,Spain,Europe
180,Sri Lanka,Asia
181,St. Kitts and Nevis,North America
182,St. Lucia,North America
183,St. Martin (French part),North America
184,St. Vincent and the Grenadines,North America
185,Sudan,Africa
186,Suriname,South America
187,Sweden,Europe
188,Switzerland,Europe
189,Syrian Arab Republic,Asia
190,Tajikistan,Asia
191,Tanzania,Africa
192,Thailand,Asia
193,Timor-Leste,Asia
194,Togo,Africa
195,Tonga,Oceania
196,Trinidad and Tobago,North America
197,Tunisia,Africa
198,Turkiye,Asia
199,Turkmenistan,Asia
200,Turks and Caicos Islands,North America
201,Tuvalu,Oceania
202,Uganda,Africa
203,Ukraine,Europe
204,United Arab Emirates,Asia
205,United Kingdom,Europe
206,United States,North America
207,Uruguay,South America
208,Uzbekistan,Asia
209,Vanuatu,Oceania
210,"Venezuela, RB",South America
211,Viet Nam,Asia
212,Virgin Islands (U.S.),North America
213,West Bank and Gaza,Asia
214,"Yemen, Rep.",Asia
215,Zambia,Africa
216,Zimbabwe,Africa